1,1,9
2,2,7
3,3,1
4,4,5
5,5,8
6,6,6
7,7,6
8,8,6
9,9,2
10,10,9
11,11,10
12,12,1
13,13,8
14,14,8
15,15,4
16,16,7
17,17,6
18,18,1
19,19,3
20,20,9
21,21,2
22,22,10
23,23,10
24,24,5
25,25,6
26,26,5
27,27,3
28,28,8
29,29,4
30,30,10
31,31,9
32,32,10
33,33,2
34,34,6
35,35,5
36,36,8
37,37,6
38,38,9
39,39,9
40,40,10
41,41,9
42,42,7
43,43,10
44,44,4
45,45,9
46,46,1
47,47,9
48,48,7
49,49,2
50,50,8
51,51,3
52,52,7
53,53,9
54,54,1
55,55,8
56,56,2
57,57,10
58,58,7
59,59,3
60,60,7
