1,6
2,2
3,2
4,1
5,2
6,1
7,1
8,5
9,3
10,1
11,5
12,5
13,3
14,1
15,2
16,1
17,2
18,6
19,5
20,6
21,4
22,6
23,3
24,2
25,3
26,6
27,5
28,2
29,6
30,5
31,2
32,5
33,3
34,6
35,3
36,2
37,2
38,6
39,4
40,2
41,2
42,6
43,4
44,2
45,2
46,4
47,4
48,4
49,4
50,4
51,6
52,4
53,3
54,5
55,3
56,5
57,3
58,4
59,4
60,2
61,2
62,6
63,2
64,2
65,1
66,3
67,6
68,1
69,4
70,6
71,2
72,6
73,5
74,6
75,3
76,2
77,6
78,1
79,2
80,5
81,6
82,6
83,3
84,6
85,4
86,5
87,4
88,2
89,4
90,5
91,4
92,2
93,4
94,1
95,1
96,2
97,2
98,3
99,5
100,1
101,4
102,1
103,6
104,3
105,2
106,6
107,1
108,6
109,2
110,4
111,5
112,5
113,1
114,6
115,1
116,2
117,1
118,5
119,4
120,2
121,5
122,6
123,5
124,6
125,5
126,6
127,6
128,1
129,2
130,5
131,2
132,1
133,1
134,2
135,1
136,6
137,2
138,5
139,1
140,3
141,1
142,2
143,5
144,6
145,3
146,5
147,1
148,3
149,5
150,6
151,2
152,1
153,5
154,2
155,6
156,6
157,2
158,3
159,6
160,6
161,3
162,4
163,1
164,5
165,5
166,4
167,3
168,2
169,6
170,5
171,5
172,3
173,4
174,3
175,2
176,3
177,1
178,3
179,6
180,1
181,2
182,5
183,6
184,2
185,3
186,3
187,4
188,5
189,1
190,5
191,6
192,1
193,6
194,2
195,2
196,3
197,2
198,6
199,6
200,3
201,6
202,2
203,4
204,6
205,2
206,1
207,4
208,6
209,5
210,6
211,6
212,1
213,3
214,4
215,2
216,1
217,5
218,5
219,3
220,6
221,2
222,5
223,1
224,6
225,4
226,3
227,6
228,2
229,6
230,5
231,2
232,3
233,5
234,3
235,2
236,2
237,2
238,4
239,6
240,3
241,2
242,1
243,2
244,3
245,6
246,3
247,4
248,1
249,6
250,4
251,5
252,2
253,3
254,5
255,4
256,4
257,2
258,5
259,4
260,6
261,3
262,5
263,4
264,4
265,6
266,5
267,2
268,4
269,3
270,2
271,5
272,1
273,5
274,4
275,5
276,2
277,3
278,2
279,6
280,5
281,5
282,2
283,3
284,5
285,5
286,1
287,4
288,6
289,2
290,5
291,4
292,1
293,5
294,3
295,3
296,5
297,6
298,3
299,2
300,3
301,6
302,3
303,4
304,6
305,5
306,5
307,6
308,6
309,6
310,4
311,3
312,2
313,2
314,2
315,2
316,5
317,2
318,3
319,1
320,3
321,1
322,6
323,5
324,6
325,2
326,2
327,5
328,5
329,6
330,1
331,6
332,1
333,4
334,1
335,5
336,4
337,2
338,3
339,2
340,6
341,4
342,1
343,3
344,3
345,3
346,6
347,2
348,1
349,6
350,5
351,2
352,5
353,3
354,6
355,5
356,2
357,3
358,3
359,5
360,5
361,6
362,2
363,5
364,5
365,2
366,3
367,6
368,5
369,6
370,6
371,4
372,6
373,2
374,5
375,5
376,4
377,3
378,2
379,1
380,1
381,5
382,3
383,3
384,2
385,1
386,5
387,4
388,5
389,6
390,1
391,1
392,2
393,5
394,3
395,3
396,2
397,5
398,4
399,5
400,6
401,5
402,6
403,6
404,6
405,1
406,6
407,1
408,5
409,4
410,4
411,5
412,5
413,4
414,2
415,5
416,6
417,2
418,6
419,1
420,3
421,1
422,4
423,6
424,6
425,3
426,1
427,2
428,5
429,1
430,3
431,6
432,6
433,6
434,1
435,4
436,5
437,5
438,3
439,6
440,4
441,6
442,2
443,5
444,3
445,3
446,3
447,4
448,3
449,2
450,3
451,6
452,1
453,6
454,1
455,2
456,6
457,6
458,6
459,3
460,5
461,3
462,4
463,4
464,2
465,3
466,5
467,1
468,4
469,1
470,1
471,3
472,5
473,2
474,1
475,2
476,5
477,4
478,4
479,3
480,1
481,4
482,6
483,4
484,3
485,3
486,1
487,6
