1,18130,17
2,31854,2
3,19538,17
4,34170,15
5,23874,12
6,31752,6
7,24626,10
8,19488,16
9,37106,15
10,23872,8
11,15332,4
12,38506,18
13,23734,11
14,24442,10
15,29526,5
16,15372,19
17,32474,10
18,19134,1
19,24022,6
20,38392,15
21,19710,8
22,30980,16
23,19908,14
24,21464,17
25,33370,12
26,19056,19
27,39728,6
28,17532,9
29,29218,19
30,32428,16
31,25984,19
32,24016,8
33,34998,10
34,36614,9
35,31320,12
36,23972,5
37,16888,1
38,16688,8
39,37654,12
40,23536,10
41,18962,1
42,38944,5
43,19102,12
44,16922,15
45,15996,9
46,17636,14
47,16990,8
48,36728,17
49,32586,19
50,30916,12
51,39220,10
52,23182,8
53,39942,9
54,35220,8
55,24436,10
56,26836,11
57,38382,19
58,38852,6
59,39340,9
60,18032,13
61,32644,6
62,38924,2
63,15628,10
64,19994,6
65,24910,7
66,23796,5
67,27898,2
68,29014,8
69,16994,3
70,16906,1
71,30890,18
72,24590,16
73,28642,18
74,25262,9
75,26488,19
76,20604,2
77,23084,10
78,28864,9
79,21358,11
80,38902,1
81,20922,2
82,27078,13
83,35124,2
84,34316,17
85,17302,6
86,34476,16
87,37348,9
88,31658,1
89,18692,3
90,39880,3
91,35428,16
92,39308,14
93,18026,17
94,25430,16
95,25862,1
96,23906,8
97,18156,11
98,32398,6
99,34510,13
100,39836,9
101,21028,3
102,32272,12
103,18830,5
104,33154,3
105,16562,2
106,27828,1
107,22158,3
108,25218,1
109,29092,11
110,39820,11
111,33022,8
112,34264,16
113,26460,5
114,22428,17
115,37850,18
116,38736,17
117,39634,16
118,25314,12
119,21432,12
120,36890,15
121,18186,11
122,30660,1
123,27886,17
124,21750,12
125,31072,19
126,36206,10
127,30806,19
128,23126,9
129,34266,16
130,28278,7
131,33828,17
132,25338,16
133,36744,2
134,38224,12
135,36980,7
136,28776,4
137,35364,10
138,20258,11
139,27078,10
140,32692,17
141,29522,9
142,26352,16
143,31502,17
144,27996,3
145,18004,4
146,33386,17
147,23586,14
148,26578,5
149,21556,13
150,38286,13
151,32218,13
152,29978,2
153,22912,17
154,34014,7
155,27494,13
156,26244,17
157,37714,7
158,35124,4
159,38292,19
160,36802,11
161,37978,19
162,31700,19
163,25136,2
164,23786,17
165,39436,18
166,18404,11
167,19798,9
168,28422,11
169,34606,10
170,32414,3
171,32774,13
172,24058,15
173,37696,10
174,27658,12
175,33336,3
176,20350,4
177,28632,19
178,28306,12
179,20934,11
180,35792,18
181,18808,5
182,18482,12
183,15334,16
184,31492,15
185,36764,11
186,38574,15
187,32060,9
188,39222,19
189,36604,5
190,38826,11
191,22912,6
192,38160,4
193,24064,16
194,38512,12
195,35784,18
196,23234,17
197,18190,13
198,37464,10
199,23196,18
200,39980,15
201,36762,9
202,27866,15
203,15544,9
204,21246,1
205,33174,18
206,39224,13
207,32114,11
208,28878,10
209,19388,13
210,15722,7
211,26550,5
212,16188,12
